postcode_district,property_type,num_sales,total_floor_area,total_price,price_per_sqm,adj_price_per_sqm
B65,F,455,23904.0,36456477.0,1525,2220
B65,S,2669,215115.0,332851745.0,1547,2172
B65,T,2014,156666.0,222163481.0,1418,1988
B66,ALL,4882,428367.0,533807392.0,1246,1867
B66,D,270,32823.0,54867162.0,1672,2414
B66,F,534,30272.0,46626213.0,1540,2230
B66,S,984,93004.0,138372370.0,1488,2192
B66,T,3094,272268.0,293941647.0,1080,1650
B67,ALL,8458,757321.0,1019432826.0,1346,1987
B67,D,239,31602.0,51167379.0,1619,2370
B67,F,143,7981.0,11450537.0,1435,2199
B67,S,2489,233702.0,331979068.0,1421,2089
B67,T,5587,484036.0,624835842.0,1291,1909
B68,ALL,7960,689458.0,1070263268.0,1552,2200
B68,D,584,64145.0,127039495.0,1981,2758
B68,F,483,27501.0,38349886.0,1394,2067
B68,S,4164,364793.0,585226865.0,1604,2268
B68,T,2729,233019.0,319647022.0,1372,1956
B69,ALL,5859,457914.0,732953990.0,1601,2296
B69,D,854,85281.0,168226243.0,1973,2819
B69,F,746,39569.0,63891654.0,1615,2453
B69,S,2611,205631.0,327148565.0,1591,2248
B69,T,1648,127433.0,173687528.0,1363,1974
B7,ALL,460,37943.0,43036026.0,1134,1648
B7,D,7,667.0,889900.0,1334,1906
B7,F,102,7329.0,5959287.0,813,1220
B7,S,72,5341.0,6560957.0,1228,1970
B7,T,279,24606.0,29625882.0,1204,1698
B70,ALL,5277,448777.0,624004543.0,1390,1982
B70,D,484,50484.0,90901661.0,1801,2502
B70,F,431,24477.0,38669613.0,1580,2283
B70,S,1736,146851.0,212075965.0,1444,2063
B70,T,2626,226965.0,282357304.0,1244,1781
B71,ALL,6729,562197.0,888390981.0,1580,2209
B71,D,761,83031.0,174279387.0,2099,2833
B71,F,867,50120.0,61742152.0,1232,1845
B71,S,3395,289097.0,456985688.0,1581,2198
B71,T,1706,139949.0,195383754.0,1396,1993
B72,ALL,3522,375643.0,856156067.0,2279,3242
B72,D,1158,168007.0,420190129.0,2501,3511
B72,F,786,46465.0,94770230.0,2040,3023
B72,S,947,104974.0,228887707.0,2180,3093
B72,T,631,56197.0,112308001.0,1998,2897
B73,ALL,7945,838365.0,1909829259.0,2278,3240
B73,D,2035,284502.0,707915898.0,2488,3505
B73,F,1498,96355.0,203393653.0,2111,3120
B73,S,2782,306102.0,685388569.0,2239,3157
B73,T,1630,151406.0,313131139.0,2068,2987
B74,ALL,10749,1355765.0,3481851045.0,2568,3626
B74,D,4312,783375.0,2131860713.0,2721,3827
B74,F,2495,175406.0,400776041.0,2285,3425
B74,S,3258,334155.0,799124677.0,2391,3319
B74,T,684,62829.0,150089614.0,2389,3322
B75,ALL,9529,1015433.0,2417137185.0,2380,3368
B75,D,3251,454880.0,1187340195.0,2610,3674
B75,F,859,53958.0,99826220.0,1850,2805
B75,S,3672,357511.0,812302337.0,2272,3197
B75,T,1747,149084.0,317668433.0,2131,3046
B76,ALL,7663,696461.0,1614872809.0,2319,3366
B76,D,2656,318735.0,767315391.0,2407,3495
B76,F,1107,58514.0,111646452.0,1908,2947
B76,S,2543,221722.0,511637949.0,2308,3283
B76,T,1357,97490.0,224273017.0,2300,3380
B77,ALL,12519,1063399.0,1991595006.0,1873,2652
B77,D,2862,314282.0,705024870.0,2243,3132
B77,F,986,53924.0,99241781.0,1840,2670
B77,S,5082,403623.0,740977999.0,1836,2611
B77,T,3589,291570.0,446350356.0,1531,2190
B78,ALL,5137,478897.0,1047051275.0,2186,3014
B78,D,1680,206100.0,491417251.0,2384,3252
B78,F,339,19277.0,41957482.0,2177,3085
B78,S,2031,168760.0,343838112.0,2037,2850
B78,T,1087,84760.0,169838430.0,2004,2745
B79,ALL,7171,669710.0,1391876091.0,2078,2865
B79,D,2110,274687.0,657054076.0,2392,3198
B79,F,1090,56877.0,108419302.0,1906,2939
B79,S,2222,197076.0,387916063.0,1968,2711
B79,T,1749,141070.0,238486650.0,1691,2402
B8,ALL,6696,610989.0,648833969.0,1062,1635
B8,D,151,17784.0,24188395.0,1360,2072
B8,F,155,9790.0,9853260.0,1006,1552
B8,S,1777,169532.0,189885794.0,1120,1732
B8,T,4613,413883.0,424906520.0,1027,1578
B80,ALL,2472,240786.0,514115211.0,2135,3026
B80,D,714,94369.0,220444706.0,2336,3292
B80,F,299,17779.0,34469154.0,1939,2954
B80,S,861,79821.0,164579421.0,2062,2892
B80,T,598,48817.0,94621930.0,1938,2757
B9,ALL,4255,360830.0,399857754.0,1108,1719
B9,D,76,8076.0,9458800.0,1171,1978
B9,F,391,21523.0,27865187.0,1295,2062
B9,S,981,93077.0,107154870.0,1151,1795
B9,T,2807,238154.0,255378897.0,1072,1649
B90,ALL,11052,1008069.0,2915602501.0,2892,4011
B90,D,2541,319140.0,1018296890.0,3191,4371
B90,F,2812,180217.0,471216041.0,2615,3667
B90,S,4090,372086.0,1048335198.0,2817,3921
B90,T,1609,136626.0,377754372.0,2765,3873
B91,ALL,11983,1413599.0,3924244158.0,2776,3960
B91,D,5002,803296.0,2301659969.0,2865,4061
B91,F,3047,218704.0,589766399.0,2697,3941
B91,S,2725,292294.0,774623160.0,2650,3743
B91,T,1209,99305.0,258194630.0,2600,3830
B92,ALL,12681,1171701.0,2700135947.0,2304,3272
B92,D,1555,225128.0,612842740.0,2722,3834
B92,F,2129,129824.0,260363734.0,2006,3002
B92,S,6366,593899.0,1331077434.0,2241,3165
B92,T,2631,222850.0,495852039.0,2225,3147
B93,ALL,4023,493526.0,1775334041.0,3597,4997
B93,D,1916,301035.0,1117570486.0,3712,5139
B93,F,750,59238.0,188903612.0,3189,4483
B93,S,873,92176.0,325562161.0,3532,4920
B93,T,484,41077.0,143297782.0,3489,4863
B94,ALL,1525,261735.0,813413745.0,3108,4325
B94,D,933,197884.0,618383060.0,3125,4344
B94,F,70,8121.0,21314241.0,2625,3724
B94,S,353,40751.0,125362216.0,3076,4293
B94,T,169,14979.0,48354228.0,3228,4482
B95,ALL,2099,265506.0,724418842.0,2728,3856
B95,D,650,125458.0,375760451.0,2995,4177
B95,F,323,24787.0,53919079.0,2175,3073
B95,S,575,60215.0,155430348.0,2581,3708
B95,T,551,55046.0,139308964.0,2531,3640
B96,ALL,1089,135474.0,337560137.0,2492,3513
B96,D,548,90768.0,231963193.0,2556,3609
B96,F,173,9096.0,18292545.0,2011,2952
B96,S,229,22856.0,56117249.0,2455,3409
B96,T,139,12754.0,31187150.0,2445,3415
B97,ALL,12844,1178432.0,2390840604.0,2029,2903
B97,D,4439,531019.0,1162116204.0,2188,3111
B97,F,1382,77084.0,139003687.0,1803,2674
B97,S,4246,356223.0,697741367.0,1959,2802
B97,T,2777,214106.0,391979346.0,1831,2636
B98,ALL,15440,1345446.0,2329862357.0,1732,2481
B98,D,3137,351132.0,770660695.0,2195,3083
B98,F,1246,72153.0,118864354.0,1647,2436
B98,S,4632,376790.0,683992339.0,1815,2589
B98,T,6425,545371.0,756344969.0,1387,2024
BA1,ALL,13104,1369193.0,4596088614.0,3357,4717
BA1,D,1771,290947.0,1120055708.0,3850,5311
BA1,F,4569,311750.0,1072472420.0,3440,4940
BA1,S,2255,271420.0,870168190.0,3206,4461
BA1,T,4509,495076.0,1533392296.0,3097,4368
BA10,ALL,1111,114388.0,249914847.0,2185,3098
BA10,D,328,48234.0,120827397.0,2505,3500
BA10,F,157,8361.0,15003119.0,1794,2655
BA10,S,231,22872.0,48022493.0,2100,2978
BA10,T,395,34921.0,66061838.0,1892,2726
BA11,ALL,13141,1210278.0,2784780173.0,2301,3226
BA11,D,2838,357825.0,936025228.0,2616,3595
BA11,F,1384,77340.0,161259632.0,2085,3019
BA11,S,3149,288842.0,679707914.0,2353,3255
BA11,T,5770,486271.0,1007787399.0,2072,2971
BA12,ALL,9283,894276.0,2008874401.0,2246,3145
BA12,D,3357,429185.0,1061195419.0,2473,3428
BA12,F,855,45922.0,80904018.0,1762,2529
BA12,S,2449,220587.0,470118541.0,2131,2981
BA12,T,2622,198582.0,396656423.0,1997,2857
BA13,ALL,9001,811905.0,1706205090.0,2101,2985
BA13,D,2877,348825.0,772978052.0,2216,3125
BA13,F,672,37861.0,76352452.0,2017,2827
BA13,S,2709,228270.0,475744731.0,2084,2942
BA13,T,2743,196949.0,381129855.0,1935,2816
BA14,ALL,16514,1504021.0,3146901668.0,2092,2954
BA14,D,4558,557896.0,1303805792.0,2337,3241
BA14,F,1961,108934.0,220430533.0,2024,2918
BA14,S,4565,410048.0,830022094.0,2024,2870
BA14,T,5430,427143.0,792643249.0,1856,2668
BA15,ALL,4534,465690.0,1358218362.0,2917,4064
BA15,D,1225,163703.0,517170432.0,3159,4393
BA15,F,715,45389.0,131248186.0,2892,4068
BA15,S,1112,111500.0,296536998.0,2660,3714
BA15,T,1482,145098.0,413262746.0,2848,3962
BA16,ALL,4689,418736.0,867381911.0,2071,2947
BA16,D,978,122331.0,274463689.0,2244,3175
BA16,F,632,32567.0,65950213.0,2025,2956
BA16,S,1529,131642.0,270694777.0,2056,2909
BA16,T,1550,132196.0,256273232.0,1939,2771
BA2,ALL,21049,2186297.0,6648132928.0,3041,4270
BA2,D,3327,516684.0,1774402421.0,3434,4739
BA2,F,3554,243468.0,873148105.0,3586,5106
BA2,S,5015,531738.0,1543614075.0,2903,4042
